Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
390000,1.4142622,152.07692307692307,1290.0609274703706,0.4854504,0.8615384615384616,0.8615384615384616,1.0
400000,1.4144311,130.03896103896105,1305.7443409260825,0.5263139,0.9078947368421053,0.9078947368421053,1.0
410000,1.4133005,144.92753623188406,1317.1481582291567,0.47160867,0.7352941176470589,0.7352941176470589,1.0
420000,1.4131026,101.76,1327.4309209709158,0.549725,0.90625,0.90625,1.0
430000,1.4128268,95.73737373737374,1344.285725952567,0.60361344,0.9523809523809523,0.9523809523809523,1.0
440000,1.4118243,111.62921348314607,1358.4318276241765,0.6128932,0.9325842696629213,0.9325842696629213,1.0
450000,1.4117906,103.96842105263158,1369.3652165651044,0.63953394,0.9789473684210527,0.9789473684210527,1.0
460000,1.4049256,95.07692307692308,1377.2851269875148,0.6005324,0.8173076923076923,0.8173076923076923,1.0
470000,1.4025607,89.6,1377.4565160711352,0.5234165,0.6636363636363637,0.6636363636363637,1.0
480000,1.4018375,89.30630630630631,1377.4565160711352,0.42054456,0.5045045045045045,0.5045045045045045,1.0
490000,1.4012444,89.31531531531532,1377.4565160711352,0.37398165,0.4864864864864865,0.4864864864864865,1.0
500000,1.4011045,99.42,1377.4565160711352,0.37155932,0.51,0.51,1.0
510000,1.4051245,165.9206349206349,1379.7369008972864,0.45626387,0.6984126984126984,0.6984126984126984,1.0
520000,1.4053757,102.17582417582418,1394.0662464910288,0.6443553,0.978021978021978,0.978021978021978,1.0
530000,1.4048582,90.14545454545454,1413.733678816248,0.67468905,0.990909090909091,0.990909090909091,1.0
540000,1.4032034,90.13636363636364,1431.767128403295,0.6708903,0.990909090909091,0.990909090909091,1.0
550000,1.4012455,90.22018348623853,1446.9639755533967,0.6670236,0.9908256880733946,0.9908256880733946,1.0
560000,1.3894211,90.13636363636364,1455.7863975384466,0.6652815,0.990909090909091,0.990909090909091,1.0
570000,1.3852156,90.14545454545454,1455.957225923387,0.6667028,0.990909090909091,0.990909090909091,1.0
580000,1.3832471,90.21100917431193,1455.9572259233869,0.667074,0.9908256880733946,0.9908256880733946,1.0
590000,1.3811979,90.12727272727273,1455.957225923387,0.667864,0.990909090909091,0.990909090909091,1.0
600000,1.3788652,100.33333333333333,1455.9572259233869,0.6675987,0.99,0.99,1.0
610000,1.3772024,98.22549019607843,1439.036050532218,-0.3049747,-0.6666666666666666,-0.6666666666666666,1.0
620000,1.3775204,96.4,1402.2438389690578,-0.4731399,-0.86,-0.86,1.0
630000,1.3777581,90.00909090909092,1380.849661783673,-0.421412,-0.7363636363636363,-0.7363636363636363,1.0
640000,1.3780484,90.01818181818182,1364.569543220088,-0.439235,-0.7363636363636363,-0.7363636363636363,1.0
650000,1.3778238,90.09174311926606,1351.8389067129326,-0.47427303,-0.7545454545454545,-0.7545454545454545,1.0
660000,1.3835334,90.00909090909092,1333.4493381321006,-0.47016528,-0.7363636363636363,-0.7363636363636363,1.0
670000,1.3849545,90.37962962962963,1306.2753229357095,-0.47217092,-0.7339449541284404,-0.7339449541284404,1.0
680000,1.3846458,90.01818181818182,1285.5931567365087,-0.47371972,-0.7363636363636363,-0.7363636363636363,1.0
